,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name,gene_name
gene_length_category,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100
classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN,1462.0,4818.0,2680.0,1406.0,796.0,631.0,307.0,379.0,228.0,128.0,92.0,118.0,34.0,14.0,10.0,28.0,4.0,9.0,8.0,4.0,1.0,22.0,16.0,5.0,19.0,4.0,0.0,1.0,3.0,1.0,4.0,5.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,21.0
FP,16.0,334.0,749.0,769.0,684.0,610.0,351.0,336.0,330.0,295.0,158.0,97.0,126.0,72.0,55.0,43.0,53.0,9.0,30.0,9.0,11.0,27.0,4.0,15.0,41.0,24.0,46.0,2.0,2.0,13.0,14.0,10.0,2.0,23.0,0.0,4.0,1.0,39.0,2.0,1.0,72.0
TN,3439.0,35521.0,34004.0,24372.0,18560.0,14689.0,10345.0,8659.0,8178.0,6877.0,5446.0,4281.0,3819.0,2857.0,2260.0,2002.0,1377.0,1153.0,764.0,717.0,679.0,971.0,331.0,697.0,504.0,431.0,381.0,309.0,305.0,126.0,303.0,172.0,276.0,195.0,98.0,136.0,93.0,94.0,113.0,62.0,884.0
TP,2423.0,21047.0,18427.0,12973.0,10080.0,8410.0,7877.0,8066.0,7284.0,7500.0,5404.0,4744.0,4581.0,3957.0,3215.0,2187.0,1946.0,1109.0,1018.0,910.0,829.0,780.0,649.0,443.0,556.0,361.0,453.0,168.0,230.0,60.0,139.0,233.0,82.0,122.0,68.0,80.0,46.0,67.0,85.0,57.0,383.0
