tool_category,coverage_threshold,strand_bias_threshold,gaps_threshold,error_rate,recalls_wrt_variants_found_wrt_alleles,tool
snippy,5,Not_App,Not_App,0.0003772700053519,0.7810896175278662,snippy_NZ_CP011134.1
snippy,5,Not_App,Not_App,0.0003032489711769,0.7763065904359123,snippy_NZ_CP015228.1
samtools,5,Not_App,Not_App,0.0090767781938455,0.7877781127388234,samtools_NC_011742.1
snippy,5,Not_App,Not_App,0.0003070447657333,0.7974212988850444,snippy_NC_010498.1
snippy,5,Not_App,Not_App,0.000381525729696,0.8111441723623919,snippy_NZ_CP009859.1
samtools,5,Not_App,Not_App,0.007765329114004,0.8131503254460187,samtools_NZ_CP008697.1
samtools,5,Not_App,Not_App,0.0084621225164001,0.7850620383700169,samtools_NZ_CP015228.1
snippy,5,Not_App,Not_App,0.0003410694156247,0.7792971629407176,snippy_NC_011742.1
snippy,5,Not_App,Not_App,0.0001796449767247,0.7474390888535208,snippy_NZ_CP013483.1
snippy,5,Not_App,Not_App,0.0001229894047346,0.7350733751426336,snippy_NC_007779.1
snippy,5,Not_App,Not_App,0.0003762616532053,0.8063526577546063,snippy_NZ_CP008697.1
samtools,5,Not_App,Not_App,0.0082485775220403,0.7832024065820398,samtools_NC_022648.1
snippy,5,Not_App,Not_App,0.0001173114038681,0.749503429525579,snippy_CP010230.1
samtools,5,Not_App,Not_App,0.0058405763713,0.7733482106956076,samtools_CP010121.1
samtools,5,Not_App,Not_App,0.0068673222175026,0.8078837105638381,samtools_NC_017646.1
snippy,5,Not_App,Not_App,0.0002697663339049,0.7949180102791262,snippy_CU928163.2
samtools,5,Not_App,Not_App,0.0076813080224489,0.7536065491278378,samtools_NZ_CP013483.1
snippy,5,Not_App,Not_App,0.0002030842730906,0.7580875840175578,snippy_NZ_CP016007.1
samtools,5,Not_App,Not_App,0.0065441909417897,0.7214967450353644,samtools_CP010226.1
snippy,5,Not_App,Not_App,0.0001934293115151,0.7667212952879892,snippy_CP010121.1
samtools,5,Not_App,Not_App,0.0085815520173012,0.7841888799342909,samtools_NZ_HG941718.1
samtools,5,Not_App,Not_App,0.0090250392529239,0.8049992635441887,samtools_NC_010498.1
samtools,5,Not_App,Not_App,0.0069218579996643,0.7484364252643843,samtools_CP010171.1
samtools,5,Not_App,Not_App,0.0059693737779898,0.7421834662788876,samtools_CP010170.1
snippy,5,Not_App,Not_App,0.0001175541448866,0.7159164956678501,snippy_CP010226.1
snippy,5,Not_App,Not_App,0.0001193039146991,0.7272283126156064,snippy_NZ_LM995446.1
pandora_illumina_nodenovo,5,0.05,0.8,0.0012729608475727,0.8481898009559374,pandora_illumina_nodenovo
snippy,5,Not_App,Not_App,0.000319222537033,0.7752988627261317,snippy_NC_022648.1
samtools,5,Not_App,Not_App,0.0073603012361772,0.7642983955544934,samtools_NZ_CP016007.1
samtools,5,Not_App,Not_App,0.0057860048928786,0.7549847734812811,samtools_CP010230.1
snippy,5,Not_App,Not_App,0.0002608390938712,0.8009621377151488,snippy_NC_017646.1
samtools,5,Not_App,Not_App,0.0097086397516891,0.7587257307996881,samtools_NZ_CP018109.1
snippy,5,Not_App,Not_App,0.00046362486269,0.7863082012850691,snippy_CP018206.1
pandora_illumina_withdenovo,5,0.05,0.8,0.0012132419373583,0.856436900112643,pandora_illumina_withdenovo
samtools,5,Not_App,Not_App,0.011145154085979,0.7942313562017932,samtools_CP018206.1
snippy,5,Not_App,Not_App,0.0002762180571481,0.7736140290819628,snippy_NZ_LT632320.1
samtools,5,Not_App,Not_App,0.0092009424127165,0.7890302531905081,samtools_NZ_CP011134.1
samtools,5,Not_App,Not_App,0.0072899467343208,0.8022668960510603,samtools_CU928163.2
snippy,5,Not_App,Not_App,0.0001556743640783,0.7429537210706291,snippy_CP010171.1
samtools,5,Not_App,Not_App,0.0057806796578167,0.7400460321617401,samtools_NC_007779.1
samtools,5,Not_App,Not_App,0.0100538095559969,0.8201501689437556,samtools_NZ_CP009859.1
snippy,5,Not_App,Not_App,0.0003771351589005,0.7514116004679797,snippy_NZ_CP018109.1
medaka,0,Not_App,Not_App,0.1733465857158742,0.795391525216991,medaka_CP010121.1
nanopolish,0,Not_App,Not_App,0.0240796591847459,0.7393312218755633,nanopolish_NC_007779.1
nanopolish,0,Not_App,Not_App,0.0323507229904597,0.7825960491534938,nanopolish_NZ_HG941718.1
medaka,0,Not_App,Not_App,0.1947195204831404,0.8100290739604109,medaka_NZ_CP015228.1
nanopolish,0,Not_App,Not_App,0.0317935538029448,0.7838158691859232,nanopolish_NZ_CP015228.1
