tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MSB1_4E,0.8619417387855282,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_8D,0.9369905713622676,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,CFT073,0.8441219327388239,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,CFT073,0.9227021040974528,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_1A,0.8837595354515331,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MSB1_7C,0.8615408818678935,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,ST38,0.9238406103396632,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MSB1_6C,0.9208917269287676,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MSB1_7C,0.9220011283742732,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MSB1_8B,0.8628091093034941,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MSB2_1A,0.9057864279199472,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MSB1_1A,0.9253990646021462,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MSB1_8G,0.9322541177524616,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_1D,0.8995958978312741,PRG,Pandora illumina no denovo / PRG
Snippy,Escherichia_coli_MSB1_8B,0.8848001738209372,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MINF_7C,0.8658751281853694,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,CFT073,0.8567698315556332,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_1A,0.8872862799304986,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MINF_8D,0.9000008594929565,C4,Snippy / C4 (CP010121.1)
Snippy,CFT073,0.9241786637135474,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,H131800734,0.9473472508287166,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MSB1_7A,0.8314804459650341,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MINF_7C,0.8860765496351534,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MINF_1D,0.8663903972563589,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MSB1_8B,0.8720189030269286,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MSB1_9D,0.9148884064311796,C4,Snippy / C4 (CP010121.1)
Pandora illumina no denovo,063_STEC,0.8899625329162469,PRG,Pandora illumina no denovo / PRG
Snippy,Escherichia_coli_MSB2_1A,0.9343490203067504,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,063_STEC,0.9031643779933902,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Pandora illumina no denovo,Escherichia_coli_MINF_7C,0.8931245220834494,PRG,Pandora illumina no denovo / PRG
Snippy,ST38,0.8395640580073161,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_9A,0.9108421739001036,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_9A,0.8495385589402683,LF82,Snippy / LF82 (NC_011993.1)
