tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MINF_1A,20,0.9898632024407048,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9956697175474856,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9961617950989076,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9960633795886232,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9961617950989076,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9939966538726503,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_1A,20,0.997638027753174,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9931109142800906,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9990158448971558,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9918315126463928,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9973427812223208,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9956697175474856,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9977364432634585,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MINF_1A,20,0.998130105304596,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9959649640783388,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_1A,20,0.993898238362366,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9961617950989076,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9943903159137879,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MINF_1A,20,0.9694911918118296,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MINF_1A,20,0.984548764885346,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MINF_1A,20,0.996949119181183,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_1D,20,0.9566929133858268,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MINF_1D,20,0.9566929133858268,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_1D,20,0.9972440944881892,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9956692913385828,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9946850393700788,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MINF_1D,20,0.989271653543307,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9955708661417324,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9958661417322836,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_1D,20,0.995472440944882,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_1D,20,0.9960629921259844,MRSN346647,Snippy / MRSN346647 (CP018206.1)
