tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Pandora illumina no denovo,063_STEC,19,0.9620553835052168,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,063_STEC,19,0.9620553835052168,PRG,Pandora illumina with denovo / PRG
Snippy,063_STEC,19,0.997624703087886,LF82,Snippy / LF82 (NC_011993.1)
Snippy,063_STEC,19,0.9987672509696623,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,063_STEC,19,0.9947081992844042,C4,Snippy / C4 (CP010121.1)
Snippy,063_STEC,19,0.9899876725096968,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,063_STEC,19,0.9981959770287742,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,063_STEC,19,0.9949186686310472,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,063_STEC,19,0.9928440422141376,CE10,Snippy / CE10 (NC_017646.1)
Snippy,063_STEC,19,0.9947683333834452,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,063_STEC,19,0.9948886015815268,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,063_STEC,19,0.9938362548483116,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,063_STEC,19,0.9916413602333204,S21,Snippy / S21 (CP010230.1)
Snippy,063_STEC,19,0.9924832376198924,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,063_STEC,19,0.9911001533419526,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,063_STEC,19,0.9906190805496256,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,063_STEC,19,0.9987672509696623,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,063_STEC,19,0.9951592050272108,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,063_STEC,19,0.9981959770287742,S88,Snippy / S88 (NC_011742.1)
Snippy,063_STEC,19,0.9938663218978322,H7,Snippy / H7 (CP010171.1)
Snippy,063_STEC,19,0.9949186686310472,W3110,Snippy / W3110 (NC_007779.1)
Snippy,063_STEC,19,0.9984966475239784,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,063_STEC,19,0.9914008238371568,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,063_STEC,19,0.9640698758230856,C1,Snippy / C1 (CP010116.1)
Snippy,063_STEC,19,0.983102318169518,S1,Snippy / S1 (CP010226.1)
Snippy,063_STEC,19,0.9953396073243332,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,CFT073,19,0.9600540062386516,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,CFT073,19,0.9600540062386516,PRG,Pandora illumina with denovo / PRG
Snippy,CFT073,19,0.9988127938917082,LF82,Snippy / LF82 (NC_011993.1)
Snippy,CFT073,19,0.9981144373574188,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,CFT073,19,0.9946226546859724,C4,Snippy / C4 (CP010121.1)
Snippy,CFT073,19,0.9896410447413752,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,CFT073,19,0.9962055961636948,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,CFT073,19,0.993994133805112,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,CFT073,19,0.994040690907398,CE10,Snippy / CE10 (NC_017646.1)
Snippy,CFT073,19,0.994925275850831,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,CFT073,19,0.9920154569579588,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,CFT073,19,0.9939708552539692,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,CFT073,19,0.9913171004236696,S21,Snippy / S21 (CP010230.1)
Snippy,CFT073,19,0.9943200335211136,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,CFT073,19,0.9875692536896504,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,CFT073,19,0.9917593928953862,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,CFT073,19,0.9981144373574188,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,CFT073,19,0.994948554401974,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,CFT073,19,0.9979747660505608,S88,Snippy / S88 (NC_011742.1)
Snippy,CFT073,19,0.9914334931793846,H7,Snippy / H7 (CP010171.1)
Snippy,CFT073,19,0.9939242981516828,W3110,Snippy / W3110 (NC_007779.1)
Snippy,CFT073,19,0.9987429582382792,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,CFT073,19,0.9919223427533872,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,CFT073,19,0.976907677266167,C1,Snippy / C1 (CP010116.1)
Snippy,CFT073,19,0.9853577913310676,S1,Snippy / S1 (CP010226.1)
Snippy,CFT073,19,0.9946924903394012,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_1A,19,0.955903350569056,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MINF_1A,19,0.955903350569056,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_1A,19,0.9944549953560586,LF82,Snippy / LF82 (NC_011993.1)
