tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Pandora illumina no denovo,063_STEC,8,0.9044134637603021,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,063_STEC,8,0.9081106061773088,PRG,Pandora illumina with denovo / PRG
Snippy,063_STEC,8,0.9178156050219518,LF82,Snippy / LF82 (NC_011993.1)
Snippy,063_STEC,8,0.9503966725718248,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,063_STEC,8,0.8667488253870446,C4,Snippy / C4 (CP010121.1)
Snippy,063_STEC,8,0.849187398906262,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,063_STEC,8,0.9469306015558808,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,063_STEC,8,0.858122159747362,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,063_STEC,8,0.9141954864052992,CE10,Snippy / CE10 (NC_017646.1)
Snippy,063_STEC,8,0.8758376338288532,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,063_STEC,8,0.8813063236540091,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,063_STEC,8,0.9141184626049448,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,063_STEC,8,0.8620503735654317,S21,Snippy / S21 (CP010230.1)
Snippy,063_STEC,8,0.9086497727797892,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,063_STEC,8,0.8950165601170762,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,063_STEC,8,0.903412154355696,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,063_STEC,8,0.946468458753755,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,063_STEC,8,0.8805360856504659,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,063_STEC,8,0.9376107217130092,S88,Snippy / S88 (NC_011742.1)
Snippy,063_STEC,8,0.855657398136024,H7,Snippy / H7 (CP010171.1)
Snippy,063_STEC,8,0.8553493029346068,W3110,Snippy / W3110 (NC_007779.1)
Snippy,063_STEC,8,0.9165832242162828,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,063_STEC,8,0.8476469228991759,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,063_STEC,8,0.8340907340368173,C1,Snippy / C1 (CP010116.1)
Snippy,063_STEC,8,0.8358622814449665,S1,Snippy / S1 (CP010226.1)
Snippy,063_STEC,8,0.8486482323037818,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,CFT073,8,0.8209388185654009,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,CFT073,8,0.8175105485232067,PRG,Pandora illumina with denovo / PRG
Snippy,CFT073,8,0.7985232067510548,LF82,Snippy / LF82 (NC_011993.1)
Snippy,CFT073,8,0.8001054852320675,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,CFT073,8,0.5073839662447257,C4,Snippy / C4 (CP010121.1)
Snippy,CFT073,8,0.4678270042194093,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,CFT073,8,0.7979957805907173,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,CFT073,8,0.4509493670886076,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,CFT073,8,0.6574367088607594,CE10,Snippy / CE10 (NC_017646.1)
Snippy,CFT073,8,0.5704113924050633,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,CFT073,8,0.5930907172995781,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,CFT073,8,0.7162447257383966,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,CFT073,8,0.5379746835443038,S21,Snippy / S21 (CP010230.1)
Snippy,CFT073,8,0.6028481012658228,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,CFT073,8,0.6165611814345991,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,CFT073,8,0.7183544303797469,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,CFT073,8,0.8016877637130801,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,CFT073,8,0.5864978902953587,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,CFT073,8,0.8633966244725738,S88,Snippy / S88 (NC_011742.1)
Snippy,CFT073,8,0.4451476793248945,H7,Snippy / H7 (CP010171.1)
Snippy,CFT073,8,0.4699367088607595,W3110,Snippy / W3110 (NC_007779.1)
Snippy,CFT073,8,0.7977320675105485,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,CFT073,8,0.4520042194092827,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,CFT073,8,0.4462025316455696,C1,Snippy / C1 (CP010116.1)
Snippy,CFT073,8,0.4873417721518987,S1,Snippy / S1 (CP010226.1)
Snippy,CFT073,8,0.4585970464135021,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_1A,8,0.9084236281020622,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MINF_1A,8,0.9080740999650472,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_1A,8,0.8021670744494932,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MINF_1A,8,0.8605382733310032,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MINF_1A,8,0.8159734358615869,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MINF_1A,8,0.7786613072352324,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MINF_1A,8,0.8624606780845858,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_1A,8,0.8300419433764418,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_1A,8,0.8991611324711639,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_1A,8,0.8247990213212164,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MINF_1A,8,0.8538098566934639,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_1A,8,0.9265990912268438,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MINF_1A,8,0.8128276826284516,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_1A,8,0.9583187696609576,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_1A,8,0.8592275428171968,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_1A,8,0.9026564138413142,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MINF_1A,8,0.8614120936735408,EC958,Snippy / EC958 (NZ_HG941718.1)
