tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Pandora illumina no denovo,063_STEC,18,0.9634117527930603,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,063_STEC,18,0.9634117527930603,PRG,Pandora illumina with denovo / PRG
Snippy,063_STEC,18,0.9982448442299254,LF82,Snippy / LF82 (NC_011993.1)
Snippy,063_STEC,18,0.9941944847605224,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,063_STEC,18,0.9894015593883956,C4,Snippy / C4 (CP010121.1)
Snippy,063_STEC,18,0.9773854929625004,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,063_STEC,18,0.9933169068754852,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,063_STEC,18,0.9855199648968846,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,063_STEC,18,0.9902453842778548,CE10,Snippy / CE10 (NC_017646.1)
Snippy,063_STEC,18,0.9909541971850002,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,063_STEC,18,0.9895703243662876,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,063_STEC,18,0.9895703243662876,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,063_STEC,18,0.9866675667465488,S21,Snippy / S21 (CP010230.1)
Snippy,063_STEC,18,0.9913929861275188,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,063_STEC,18,0.9846761400074256,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,063_STEC,18,0.9787018597900564,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,063_STEC,18,0.9940932257737874,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,063_STEC,18,0.9900766192999628,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,063_STEC,18,0.9969622303979478,S88,Snippy / S88 (NC_011742.1)
Snippy,063_STEC,18,0.9782630708475376,H7,Snippy / H7 (CP010171.1)
Snippy,063_STEC,18,0.9883214635298884,W3110,Snippy / W3110 (NC_007779.1)
Snippy,063_STEC,18,0.9974347723360448,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,063_STEC,18,0.9855537178924628,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,063_STEC,18,0.9589563573767172,C1,Snippy / C1 (CP010116.1)
Snippy,063_STEC,18,0.967057076315523,S1,Snippy / S1 (CP010226.1)
Snippy,063_STEC,18,0.9907854322071084,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,CFT073,18,0.966646598434678,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,CFT073,18,0.966646598434678,PRG,Pandora illumina with denovo / PRG
Snippy,CFT073,18,0.9981336544250452,LF82,Snippy / LF82 (NC_011993.1)
Snippy,CFT073,18,0.9931366646598436,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,CFT073,18,0.9922335942203492,C4,Snippy / C4 (CP010121.1)
Snippy,CFT073,18,0.9826309452137266,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,CFT073,18,0.9924744130042144,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,CFT073,18,0.9861228175797712,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,CFT073,18,0.9936183022275736,CE10,Snippy / CE10 (NC_017646.1)
Snippy,CFT073,18,0.9928657435279952,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,CFT073,18,0.9903973509933774,VR50,Snippy / VR50 (NZ_CP011134.1)
