tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Pandora illumina no denovo,063_STEC,15,0.9138655462184874,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,063_STEC,15,0.9167403803626714,PRG,Pandora illumina with denovo / PRG
Snippy,063_STEC,15,0.9805395842547544,LF82,Snippy / LF82 (NC_011993.1)
Snippy,063_STEC,15,0.9749004865103936,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,063_STEC,15,0.9666076957098628,C4,Snippy / C4 (CP010121.1)
Snippy,063_STEC,15,0.9255860238832376,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,063_STEC,15,0.9740159221583372,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,063_STEC,15,0.8841220698805838,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,063_STEC,15,0.9763379035824856,CE10,Snippy / CE10 (NC_017646.1)
Snippy,063_STEC,15,0.9758956214064574,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,063_STEC,15,0.9541132242370632,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,063_STEC,15,0.9672711189739054,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,063_STEC,15,0.9519018133569216,S21,Snippy / S21 (CP010230.1)
Snippy,063_STEC,15,0.9788810260946484,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,063_STEC,15,0.9563246351172048,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,063_STEC,15,0.9671605484298984,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,063_STEC,15,0.9757850508624504,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,063_STEC,15,0.9703670942061036,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,063_STEC,15,0.979765590446705,S88,Snippy / S88 (NC_011742.1)
Snippy,063_STEC,15,0.93796992481203,H7,Snippy / H7 (CP010171.1)
Snippy,063_STEC,15,0.9310039805395842,W3110,Snippy / W3110 (NC_007779.1)
Snippy,063_STEC,15,0.97843874391862,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,063_STEC,15,0.9127598407784168,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,063_STEC,15,0.943719593100398,C1,Snippy / C1 (CP010116.1)
Snippy,063_STEC,15,0.9158558160106148,S1,Snippy / S1 (CP010226.1)
Snippy,063_STEC,15,0.9317779743476338,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,CFT073,15,0.9444022482150995,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,CFT073,15,0.9429844549091092,PRG,Pandora illumina with denovo / PRG
Snippy,CFT073,15,0.9902273532837106,LF82,Snippy / LF82 (NC_011993.1)
Snippy,CFT073,15,0.9788343713605752,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,CFT073,15,0.959643526254494,C4,Snippy / C4 (CP010121.1)
Snippy,CFT073,15,0.9506304116664136,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,CFT073,15,0.9787331004101474,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,CFT073,15,0.938629804040711,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,CFT073,15,0.9841510962580384,CE10,Snippy / CE10 (NC_017646.1)
Snippy,CFT073,15,0.9818724998734112,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,CFT073,15,0.9779229328067244,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,CFT073,15,0.976555774975948,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,CFT073,15,0.9617195807382652,S21,Snippy / S21 (CP010230.1)
Snippy,CFT073,15,0.9643019899741758,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,CFT073,15,0.9613144969365538,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,CFT073,15,0.969011089169072,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,CFT073,15,0.9787331004101474,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,CFT073,15,0.969719985822067,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,CFT073,15,0.9942781913008254,S88,Snippy / S88 (NC_011742.1)
Snippy,CFT073,15,0.9553395108613094,H7,Snippy / H7 (CP010171.1)
Snippy,CFT073,15,0.9596941617297078,W3110,Snippy / W3110 (NC_007779.1)
Snippy,CFT073,15,0.9937718365486858,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,CFT073,15,0.9508835890424832,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,CFT073,15,0.947136563876652,C1,Snippy / C1 (CP010116.1)
Snippy,CFT073,15,0.9279457187705706,S1,Snippy / S1 (CP010226.1)
Snippy,CFT073,15,0.9630361030938276,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_1A,15,0.9243996021031692,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MINF_1A,15,0.9240443370754584,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_1A,15,0.8788546255506607,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MINF_1A,15,0.8834020179053574,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9632655961347164,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9263180332528066,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MINF_1A,15,0.8809151627113827,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9010231632798068,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9774051442376012,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9752025010657952,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9646866562455592,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9800341054426602,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9494102600540004,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9748472360380844,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9505471081426744,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9798209464260338,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MINF_1A,15,0.8841836009663209,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9760551371323009,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MINF_1A,15,0.8956941878641467,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9275969873525648,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9320022736961774,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_1A,15,0.8828335938610203,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9267443512860594,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9508313201648432,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9098337359670314,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MINF_1A,15,0.9379707261617166,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_1D,15,0.9411820690967926,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MINF_1D,15,0.9387075283144573,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_1D,15,0.9868658989245264,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MINF_1D,15,0.9705434472256592,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MINF_1D,15,0.9556010278861712,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MINF_1D,15,0.9465118492433616,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MINF_1D,15,0.9705434472256592,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_1D,15,0.9346626058817932,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_1D,15,0.9803940230322642,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_1D,15,0.979061577995622,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MINF_1D,15,0.9746359569810602,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_1D,15,0.9739697344627392,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MINF_1D,15,0.9567907109546016,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_1D,15,0.9619777291329592,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
