tool,sample,precision,ref,tool_and_ref
Medaka,ST38,0.8743634052015561,EcRV308Chr (NZ_LM995446.1),Medaka / EcRV308Chr (NZ_LM995446.1)
Medaka,063_STEC,0.8119600422172185,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,CFT073,0.7753275419063564,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MINF_1A,0.8132900315607117,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MINF_1D,0.7442672373242243,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MINF_7C,0.8268136050337712,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MINF_8D,0.7631867292338693,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MINF_9A,0.8193064472270216,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MSB1_1A,0.8067489015038245,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MSB1_3B,0.8395993865150156,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MSB1_4E,0.620221809908167,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MSB1_4I,0.8093471570801339,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MSB1_6C,0.8320786044754429,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MSB1_7A,0.841812691483711,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MSB1_7C,0.8157002295658571,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MSB1_8B,0.795463134616404,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MSB1_8G,0.8230519603586155,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MSB1_9D,0.8008667973947565,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,Escherichia_coli_MSB2_1A,0.7287102110778255,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,H131800734,0.8678658567953083,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,ST38,0.8358558907510742,NCTC_13441 (NZ_LT632320.1),Medaka / NCTC_13441 (NZ_LT632320.1)
Medaka,063_STEC,0.8365521279837753,MRSN346595 (NZ_CP018109.1),Medaka / MRSN346595 (NZ_CP018109.1)
Medaka,CFT073,0.8430318583952842,MRSN346595 (NZ_CP018109.1),Medaka / MRSN346595 (NZ_CP018109.1)
Medaka,Escherichia_coli_MINF_1A,0.764812619570458,MRSN346595 (NZ_CP018109.1),Medaka / MRSN346595 (NZ_CP018109.1)
Medaka,Escherichia_coli_MINF_1D,0.7867902152375591,MRSN346595 (NZ_CP018109.1),Medaka / MRSN346595 (NZ_CP018109.1)
Medaka,Escherichia_coli_MINF_7C,0.7967889590011736,MRSN346595 (NZ_CP018109.1),Medaka / MRSN346595 (NZ_CP018109.1)
Medaka,Escherichia_coli_MINF_8D,0.6146308669890602,MRSN346595 (NZ_CP018109.1),Medaka / MRSN346595 (NZ_CP018109.1)
Medaka,Escherichia_coli_MINF_9A,0.8229590565068627,MRSN346595 (NZ_CP018109.1),Medaka / MRSN346595 (NZ_CP018109.1)
Medaka,Escherichia_coli_MSB1_1A,0.6250137629978243,MRSN346595 (NZ_CP018109.1),Medaka / MRSN346595 (NZ_CP018109.1)
Medaka,Escherichia_coli_MSB1_3B,0.8219158313004348,MRSN346595 (NZ_CP018109.1),Medaka / MRSN346595 (NZ_CP018109.1)
