tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MINF_1A,2,0.5153308230231307,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MINF_1A,2,0.6672558211019749,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_1A,2,0.6149235380004611,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_1A,2,0.6892338430799969,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_1A,2,0.5755782678859602,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MINF_1A,2,0.6199185429954661,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_1A,2,0.6704065165603628,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MINF_1A,2,0.5438407746100054,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_1A,2,0.8267885960193653,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_1A,2,0.6614923538000461,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_1A,2,0.6556520402674249,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MINF_1A,2,0.6761699838622915,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_1A,2,0.585721970337355,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MINF_1A,2,0.6549604241911934,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MINF_1A,2,0.5386920771536157,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_1A,2,0.522784907400292,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_1A,2,0.5624375624375625,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MINF_1A,2,0.5755782678859602,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MINF_1A,2,0.5420733113040805,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MINF_1A,2,0.5192499807884423,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MINF_1A,2,0.5363098440021516,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_1D,2,0.6878896882494004,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MINF_1D,2,0.7229016786570743,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_1D,2,0.3811750599520384,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MINF_1D,2,0.3735011990407674,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MINF_1D,2,0.3257793764988009,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MINF_1D,2,0.26103117505995205,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MINF_1D,2,0.3764988009592326,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_1D,2,0.2737410071942446,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_1D,2,0.3657074340527578,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_1D,2,0.297242206235012,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MINF_1D,2,0.30287769784172663,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_1D,2,0.3592326139088729,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MINF_1D,2,0.27398081534772184,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_1D,2,0.34508393285371697,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_1D,2,0.320863309352518,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_1D,2,0.4101918465227818,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MINF_1D,2,0.3781774580335732,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_1D,2,0.3428057553956835,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MINF_1D,2,0.4804556354916067,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MINF_1D,2,0.3026378896882494,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_1D,2,0.278537170263789,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_1D,2,0.6928057553956835,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MINF_1D,2,0.30467625899280576,Y5,Snippy / Y5 (NZ_CP013483.1)
