,Unnamed: 0,tool,coverage,coverage_threshold,strand_bias_threshold,gaps_threshold,step_GT,error_rate,nb_of_correct_calls,nb_of_total_calls,recalls_wrt_truth_probes,nbs_of_truth_probes_found,nbs_of_truth_probes_in_total,recalls_wrt_variants_where_all_allele_seqs_were_found,recalls_wrt_variants_found_wrt_alleles,nbs_variants_where_all_allele_seqs_were_found,nbs_variants_found_wrt_alleles,nbs_variants_total,tool_long_name
511,511,medaka,100x,0,Not_App,Not_App,5,0.1055125249605593,1564297.5860984747,1748820.0,0.9346103128694976,6419956,6869126,0.8117665899892264,0.8291524760844999,501813,512560.5027510597,618174,medaka_NZ_CP009859.1
512,512,medaka,100x,0,Not_App,Not_App,6,0.07409231335590416,1287061.683450372,1390054.0,0.9312283284718884,6082153,6531323,0.7415237219184826,0.7809321230220192,457882,482216.2147806207,617488,medaka_NZ_CP009859.1
513,513,medaka,100x,0,Not_App,Not_App,7,0.36815375644891657,44259.565668266296,70048.0,0.9061938929649284,4339111,4788281,0.0609618571629365,0.5615963241106923,37300,343617.20367771987,611858,medaka_NZ_CP009859.1
514,514,medaka,100x,0,Not_App,Not_App,8,0.6356244595943735,5421.908041235722,14880.0,0.9043383904050876,4246235,4695405,0.0131820295969237,0.5482715202339028,8049,334776.78334090195,610604,medaka_NZ_CP009859.1
515,515,medaka,100x,0,Not_App,Not_App,9,0.6947414892162265,2909.4188662801453,9531.0,0.9042394361602992,4241383,4690553,0.009813381914215642,0.5474943802076283,5990,334185.6422293144,610391,medaka_NZ_CP009859.1
516,516,medaka,100x,0,Not_App,Not_App,10,0.7190939739820146,2119.1550602796824,7544.0,0.904218607695052,4240363,4689533,0.009426017315166171,0.5472849088554218,5753,334025.49299154733,610332,medaka_NZ_CP009859.1
517,517,nanopolish,100x,0,Not_App,Not_App,0,0.027808519631150386,1659659.186265035,1707132.0,0.8704078643039009,6045692,6945815,0.7316906704619889,0.7430971094658996,452408,459460.658268313,618305,nanopolish_NC_011993.1
518,518,nanopolish,100x,0,Not_App,Not_App,1,0.02751508571698501,1658361.0195983683,1705282.0,0.870395381177012,6045023,6945146,0.731441602445395,0.7429713097336729,452254,459382.8756648786,618305,nanopolish_NC_011993.1
519,519,nanopolish,100x,0,Not_App,Not_App,2,0.027137049410518643,1656782.686265035,1702997.0,0.8703772399712334,6044051,6944174,0.7311743090777352,0.7428044702958294,452088,459278.9752017925,618304,nanopolish_NC_011993.1
520,520,nanopolish,100x,0,Not_App,Not_App,3,0.026709344948241287,1655065.1862650346,1700484.0,0.8703542762263385,6042821,6942944,0.730816879722596,0.7425817611240931,451867,459141.2732300712,618304,nanopolish_NC_011993.1
521,521,nanopolish,100x,0,Not_App,Not_App,4,0.026128223692266302,1652712.0195983683,1697053.0,0.8703157423387607,6040758,6940881,0.7302596465804736,0.74223289618892,451521,458924.0841794016,618302,nanopolish_NC_011993.1
522,522,nanopolish,100x,0,Not_App,Not_App,5,0.025466156938588225,1649558.3529317016,1692664.0,0.8702537561810232,6037442,6937565,0.7295217054476703,0.7416916755261539,451064,458588.7046694965,618301,nanopolish_NC_011993.1
523,523,nanopolish,100x,0,Not_App,Not_App,6,0.024610463823638958,1643325.561265035,1684789.0,0.8701083725360039,6029677,6929800,0.7279884716343658,0.7405905279934876,450116,457907.8640489014,618301,nanopolish_NC_011993.1
524,524,nanopolish,100x,0,Not_App,Not_App,7,0.023628572945451176,1625552.9779317018,1664892.0,0.8696443645618411,6005010,6905133,0.7248120252110218,0.7375203632782983,448152,456009.57813533506,618301,nanopolish_NC_011993.1
525,525,nanopolish,100x,0,Not_App,Not_App,8,0.02267249648137215,1579990.6445983688,1616644.0,0.8683936422346046,5939387,6839510,0.7168295598084422,0.7298196336361965,443215,451246.74965762673,618299,nanopolish_NC_011993.1
526,526,nanopolish,100x,0,Not_App,Not_App,9,0.021901933734798984,1485743.6779317018,1519013.0,0.8657307589382007,5803743,6703866,0.6959190407028463,0.7138976296939147,430277,441392.9098729317,618286,nanopolish_NC_011993.1
527,527,nanopolish,100x,0,Not_App,Not_App,10,0.021539644564665728,1312772.8619976358,1341672.0,0.8605614454270248,5555215,6455338,0.6464659861579942,0.6844988891554326,399686,423200.3367059052,618263,nanopolish_NC_011993.1
528,528,nanopolish,100x,0,Not_App,Not_App,0,0.030586441011607787,1610502.25616436,1661316.0,0.9233731390772716,6413579,6945815,0.7930293301849408,0.8122016313185934,490334,502188.32965244283,618305,nanopolish_NZ_CP008697.1
529,529,nanopolish,100x,0,Not_App,Not_App,1,0.03021209999471908,1608649.25616436,1658764.0,0.9233626792276944,6412631,6944867,0.7926185296900397,0.8119613267111534,490080,502039.7481121397,618305,nanopolish_NZ_CP008697.1
530,530,nanopolish,100x,0,Not_App,Not_App,2,0.029773936029195317,1606583.75616436,1655886.0,0.9233500529903051,6411487,6943723,0.7921252456312015,0.8116827525458152,489775,501867.5043128403,618305,nanopolish_NZ_CP008697.1
531,531,nanopolish,100x,0,Not_App,Not_App,3,0.029205817028047695,1604081.0894976929,1652339.0,0.9233314040236622,6409798,6942034,0.7913877455301186,0.8112675100242314,489319,501610.7577855325,618305,nanopolish_NZ_CP008697.1
532,532,nanopolish,100x,0,Not_App,Not_App,4,0.028467717949200225,1600889.922831026,1647799.0,0.9233030764597296,6407234,6939470,0.7902426795837006,0.8106423315055021,488611,501224.2067815095,618305,nanopolish_NZ_CP008697.1
533,533,nanopolish,100x,0,Not_App,Not_App,5,0.027675529226091844,1596320.5061643592,1641757.0,0.9232527888197172,6402687,6934923,0.7885855132281636,0.8097058786815889,487584,500642.7642005839,618302,nanopolish_NZ_CP008697.1
