,Unnamed: 0,tool,coverage,coverage_threshold,strand_bias_threshold,gaps_threshold,step_GT,error_rate,nb_of_correct_calls,nb_of_total_calls,recalls_wrt_truth_probes,nbs_of_truth_probes_found,nbs_of_truth_probes_in_total,recalls_wrt_variants_where_all_allele_seqs_were_found,recalls_wrt_variants_found_wrt_alleles,nbs_variants_where_all_allele_seqs_were_found,nbs_variants_found_wrt_alleles,nbs_variants_total,tool_long_name
470,470,pandora with denovo,100x,10,0.05,0.6,8,0.004442918189739298,3559585.474857215,3575471.0,0.8803999878650686,5833091,6625501,0.6732893010645715,0.7987548099876414,416216,493776.64470259007,618183,pandora_nanopore_withdenovo_global_genotyping
471,471,pandora with denovo,100x,10,0.05,0.6,9,0.0042607906575438115,3441099.4573866837,3455824.0,0.8778116157683322,5692740,6485150,0.6260754049606568,0.7792562834068062,386929,481598.3060399246,618023,pandora_nanopore_withdenovo_global_genotyping
472,472,pandora with denovo,100x,10,0.05,0.6,10,0.0040907229534964396,3224411.6462852745,3237656.0,0.8743850111061018,5515834,6308244,0.5603063839154919,0.7548745067696391,346150,466351.656913695,617787,pandora_nanopore_withdenovo_global_genotyping
473,473,nanopolish,100x,10,Not_App,Not_App,0,0.02974426157445253,1717182.8622589945,1769825.0,0.8883507550949744,6170320,6945815,0.7639530652347951,0.7811394870412091,472356,482982.4505350147,618305,nanopolish_NZ_LT632320.1
474,474,nanopolish,100x,10,Not_App,Not_App,1,0.02939297530689855,1715296.5289256612,1767241.0,0.8883338262707923,6169267,6944762,0.7635131528937984,0.7809135150740623,472084,482842.7309378681,618305,nanopolish_NZ_LT632320.1
475,475,nanopolish,100x,10,Not_App,Not_App,2,0.029033562497688407,1712905.1955923282,1764124.0,0.8883113108606465,6167867,6943362,0.7630117822110447,0.7806074536493488,471774,482653.4916286607,618305,nanopolish_NZ_LT632320.1
476,476,nanopolish,100x,10,Not_App,Not_App,3,0.028503533018953142,1710098.0289256612,1760272.0,0.8882812869156735,6166001,6941496,0.7623276538278034,0.7802132307967188,471351,482409.7416677653,618305,nanopolish_NZ_LT632320.1
477,477,nanopolish,100x,10,Not_App,Not_App,4,0.027808934947972985,1706584.1955923282,1755400.0,0.8882330313804182,6163004,6938499,0.7611906745053008,0.7795969127647814,470648,482028.6691470281,618305,nanopolish_NZ_LT632320.1
478,478,nanopolish,100x,10,Not_App,Not_App,5,0.02699849478545091,1701546.112258995,1748760.0,0.8881502382033077,6157868,6933363,0.7596793158047106,0.7786536110936034,469712,481443.8637000082,618303,nanopolish_NZ_LT632320.1
479,479,nanopolish,100x,10,Not_App,Not_App,6,0.0260519732182376,1690453.3455923283,1735671.0,0.8879274302670727,6144084,6919579,0.7572444489011015,0.7766064272906409,468205,480176.5306002306,618301,nanopolish_NZ_LT632320.1
