FIRST_SAMPLE,SECOND_SAMPLE,count
MSB1_1A,MSB1_8B,32
MSB1_1A,MSB1_8G,9
MSB1_1A,MSB1_9D,50
MSB1_1A,MSB2_1A,4
MSB1_1A,ST38,75
MSB1_3B,063_STEC,1
MSB1_3B,CFT073,0
MSB1_3B,H131800734,7
MSB1_3B,MINF_1A,1
MSB1_3B,MINF_1D,29
MSB1_3B,MINF_7C,9
MSB1_3B,MINF_8D,3
MSB1_3B,MINF_9A,37
MSB1_3B,MSB1_1A,24
MSB1_3B,MSB1_3B,0
MSB1_3B,MSB1_4E,583
MSB1_3B,MSB1_4I,293
MSB1_3B,MSB1_6C,81
MSB1_3B,MSB1_7A,0
MSB1_3B,MSB1_7C,0
MSB1_3B,MSB1_8B,0
MSB1_3B,MSB1_8G,28
MSB1_3B,MSB1_9D,27
MSB1_3B,MSB2_1A,0
MSB1_3B,ST38,480
MSB1_4E,063_STEC,646
MSB1_4E,CFT073,530
MSB1_4E,H131800734,70
MSB1_4E,MINF_1A,384
MSB1_4E,MINF_1D,425
MSB1_4E,MINF_7C,272
MSB1_4E,MINF_8D,202
MSB1_4E,MINF_9A,245
MSB1_4E,MSB1_1A,257
MSB1_4E,MSB1_3B,583
MSB1_4E,MSB1_4E,0
MSB1_4E,MSB1_4I,403
MSB1_4E,MSB1_6C,124
MSB1_4E,MSB1_7A,799
MSB1_4E,MSB1_7C,293
MSB1_4E,MSB1_8B,127
MSB1_4E,MSB1_8G,470
MSB1_4E,MSB1_9D,187
MSB1_4E,MSB2_1A,1370
MSB1_4E,ST38,122
MSB1_4I,063_STEC,463
MSB1_4I,CFT073,302
MSB1_4I,H131800734,126
MSB1_4I,MINF_1A,466
MSB1_4I,MINF_1D,238
MSB1_4I,MINF_7C,1060
MSB1_4I,MINF_8D,403
MSB1_4I,MINF_9A,429
MSB1_4I,MSB1_1A,254
MSB1_4I,MSB1_3B,293
MSB1_4I,MSB1_4E,403
MSB1_4I,MSB1_4I,0
MSB1_4I,MSB1_6C,102
MSB1_4I,MSB1_7A,115
MSB1_4I,MSB1_7C,487
MSB1_4I,MSB1_8B,636
MSB1_4I,MSB1_8G,141
MSB1_4I,MSB1_9D,316
MSB1_4I,MSB2_1A,450
MSB1_4I,ST38,465
MSB1_6C,063_STEC,66
MSB1_6C,CFT073,164
MSB1_6C,H131800734,34
MSB1_6C,MINF_1A,46
MSB1_6C,MINF_1D,690
MSB1_6C,MINF_7C,119
MSB1_6C,MINF_8D,129
MSB1_6C,MINF_9A,370
MSB1_6C,MSB1_1A,30
MSB1_6C,MSB1_3B,81
MSB1_6C,MSB1_4E,124
MSB1_6C,MSB1_4I,102
MSB1_6C,MSB1_6C,0
MSB1_6C,MSB1_7A,145
MSB1_6C,MSB1_7C,218
MSB1_6C,MSB1_8B,273
MSB1_6C,MSB1_8G,24
MSB1_6C,MSB1_9D,422
MSB1_6C,MSB2_1A,70
MSB1_6C,ST38,122
MSB1_7A,063_STEC,0
MSB1_7A,CFT073,0
MSB1_7A,H131800734,5
MSB1_7A,MINF_1A,0
MSB1_7A,MINF_1D,0
MSB1_7A,MINF_7C,2
MSB1_7A,MINF_8D,0
MSB1_7A,MINF_9A,5
MSB1_7A,MSB1_1A,7
MSB1_7A,MSB1_3B,0
MSB1_7A,MSB1_4E,799
MSB1_7A,MSB1_4I,115
MSB1_7A,MSB1_6C,145
MSB1_7A,MSB1_7A,0
MSB1_7A,MSB1_7C,3
MSB1_7A,MSB1_8B,0
MSB1_7A,MSB1_8G,2
MSB1_7A,MSB1_9D,9
MSB1_7A,MSB2_1A,0
MSB1_7A,ST38,0
MSB1_7C,063_STEC,326
MSB1_7C,CFT073,278
MSB1_7C,H131800734,107
MSB1_7C,MINF_1A,521
MSB1_7C,MINF_1D,569
MSB1_7C,MINF_7C,956
MSB1_7C,MINF_8D,104
MSB1_7C,MINF_9A,1008
MSB1_7C,MSB1_1A,88
MSB1_7C,MSB1_3B,0
MSB1_7C,MSB1_4E,293
MSB1_7C,MSB1_4I,487
MSB1_7C,MSB1_6C,218
MSB1_7C,MSB1_7A,3
MSB1_7C,MSB1_7C,0
MSB1_7C,MSB1_8B,882
MSB1_7C,MSB1_8G,101
MSB1_7C,MSB1_9D,126
MSB1_7C,MSB2_1A,412
MSB1_7C,ST38,359
MSB1_8B,063_STEC,212
MSB1_8B,CFT073,152
MSB1_8B,H131800734,122
MSB1_8B,MINF_1A,360
MSB1_8B,MINF_1D,206
